id,note_bac1,note_bac2,libelle_court,libelle
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
259675,9,16,ALL,Allemand
259675,14,11,ANG,Anglais
259675,12,15,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
12659,8,0,ALL,Allemand
12659,9.5,10,ANG,Anglais
12659,12.5,7,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
272639,10,10,PHI,Philosophie
272639,13,12,ALL,Allemand
272639,11,10,FRS,Français
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
275366,13,12,FRS,Français
275366,17,15,ALL,Allemand
